Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
62,ECfw,6,8,"(1, 8, 24, 34, 23, 6, 0, 0, 0)",16,3,4,1,0,0,"(3, 1, 1, 3, 3, 5)",1.8889,1.3744,False
70,ECuw,6,8,"(1, 8, 24, 34, 23, 6, 0, 0, 0)",16,3,4,1,0,0,"(3, 1, 1, 3, 4, 4)",1.5556,1.2472,False
107,EQjg,6,8,"(1, 8, 24, 34, 23, 6, 0, 0, 0)",16,3,4,1,0,0,"(3, 2, 3, 1, 3, 4)",0.8889,0.9428,False
40,E?zw,6,8,"(1, 8, 25, 38, 28, 8, 0, 0, 0)",20,2,3,3,0,0,"(2, 2, 2, 1, 4, 5)",1.8889,1.3744,False
51,ECrw,6,8,"(1, 8, 25, 38, 28, 8, 0, 0, 0)",21,2,3,2,1,0,"(3, 2, 1, 2, 3, 5)",1.5556,1.2472,False
60,ECZw,6,8,"(1, 8, 25, 38, 28, 8, 0, 0, 0)",24,2,3,1,0,0,"(2, 2, 2, 2, 3, 5)",1.2222,1.1055,False
65,ECzg,6,8,"(1, 8, 25, 38, 28, 8, 0, 0, 0)",20,2,3,3,0,0,"(3, 2, 2, 1, 4, 4)",1.2222,1.1055,False
66,ECzW,6,8,"(1, 8, 25, 38, 28, 8, 0, 0, 0)",21,2,3,2,1,0,"(3, 2, 1, 2, 4, 4)",1.2222,1.1055,False
84,EEjW,6,8,"(1, 8, 25, 38, 28, 8, 0, 0, 0)",21,2,3,2,1,0,"(3, 2, 1, 3, 3, 4)",0.8889,0.9428,False
106,EQjo,6,8,"(1, 8, 25, 38, 28, 8, 0, 0, 0)",24,2,3,1,0,0,"(3, 2, 3, 2, 2, 4)",0.5556,0.7454,False
69,ECvo,6,8,"(1, 8, 26, 42, 33, 10, 0, 0, 0)",24,2,2,3,1,0,"(3, 2, 1, 3, 3, 4)",0.8889,0.9428,False
75,EEro,6,8,"(1, 8, 26, 42, 33, 10, 0, 0, 0)",24,2,2,3,1,0,"(3, 3, 1, 3, 2, 4)",0.8889,0.9428,False
88,EEzO,6,8,"(1, 8, 26, 42, 33, 10, 0, 0, 0)",24,2,2,3,1,0,"(3, 3, 1, 3, 3, 3)",0.5556,0.7454,False
67,ECxw,6,8,"(1, 8, 26, 43, 36, 12, 0, 0, 0)",28,1,2,2,2,0,"(2, 2, 2, 2, 4, 4)",0.8889,0.9428,False
83,EEjo,6,8,"(1, 8, 26, 43, 36, 12, 0, 0, 0)",29,1,2,2,1,1,"(3, 2, 2, 3, 2, 4)",0.5556,0.7454,False
85,EEhw,6,8,"(1, 8, 26, 43, 36, 12, 0, 0, 0)",30,1,2,1,2,1,"(2, 2, 2, 3, 3, 4)",0.5556,0.7454,False
109,EQzO,6,8,"(1, 8, 26, 43, 36, 12, 0, 0, 0)",30,1,2,1,2,1,"(3, 3, 2, 2, 3, 3)",0.2222,0.4714,False
118,EUZO,6,8,"(1, 8, 26, 44, 39, 14, 0, 0, 0)",32,1,2,1,2,1,"(3, 3, 2, 3, 2, 3)",0.2222,0.4714,False
64,ECzo,6,8,"(1, 8, 27, 47, 41, 14, 0, 0, 0)",32,1,1,3,2,0,"(3, 2, 2, 2, 3, 4)",0.5556,0.7454,False
117,EUZ_,6,8,"(1, 8, 27, 48, 44, 16, 0, 0, 0)",35,1,1,2,3,1,"(3, 3, 3, 2, 2, 3)",0.2222,0.4714,False
41,E?~o,6,8,"(1, 8, 28, 50, 44, 15, 0, 0, 0)",32,1,0,6,0,0,"(2, 2, 2, 2, 4, 4)",0.8889,0.9428,False
87,EEz_,6,8,"(1, 8, 28, 51, 47, 17, 0, 0, 0)",36,1,0,5,0,1,"(3, 3, 2, 2, 3, 3)",0.2222,0.4714,True
