Index,G6id,Vertices,Edges,Vector,SpanningTree,Biconnection,3-cycle,4-cycle,5-cycle,6-cycle,Degree,Variance,Deviation,Maximum
29,E?Bw,6,5,"(1, 5, 10, 10, 5, 1, 0, 0, 0)",1,5,0,0,0,0,"(1, 1, 1, 1, 1, 5)",2.2222,1.4907,True
30,E?bo,6,5,"(1, 5, 10, 10, 5, 1, 0, 0, 0)",1,5,0,0,0,0,"(2, 1, 1, 1, 1, 4)",1.2222,1.1055,True
32,E?qo,6,5,"(1, 5, 10, 10, 5, 1, 0, 0, 0)",1,5,0,0,0,0,"(2, 1, 1, 1, 2, 3)",0.5556,0.7454,True
33,E?ow,6,5,"(1, 5, 10, 10, 5, 1, 0, 0, 0)",1,5,0,0,0,0,"(1, 1, 1, 1, 3, 3)",0.8889,0.9428,True
43,ECR_,6,5,"(1, 5, 10, 10, 5, 1, 0, 0, 0)",1,5,0,0,0,0,"(2, 2, 1, 1, 1, 3)",0.5556,0.7454,True
52,ECZ?,6,5,"(1, 5, 10, 10, 5, 1, 0, 0, 0)",1,5,0,0,0,0,"(2, 2, 1, 1, 2, 2)",0.2222,0.4714,True
77,EEh_,6,6,"(1, 6, 15, 20, 15, 5, 0, 0, 0)",6,1,0,0,0,1,"(2, 2, 2, 2, 2, 2)",0.0,0.0,True
63,ECxo,6,7,"(1, 7, 21, 34, 29, 10, 0, 0, 0)",16,1,0,1,2,0,"(2, 2, 2, 2, 3, 3)",0.2222,0.4714,True
87,EEz_,6,8,"(1, 8, 28, 51, 47, 17, 0, 0, 0)",36,1,0,5,0,1,"(3, 3, 2, 2, 3, 3)",0.2222,0.4714,True
99,EFz_,6,9,"(1, 9, 36, 75, 78, 31, 0, 0, 0)",81,1,0,9,0,1,"(3, 3, 3, 3, 3, 3)",0.0,0.0,True
100,EFzo,6,10,"(1, 10, 42, 90, 95, 38, 0, 0, 0)",135,1,3,9,3,1,"(3, 3, 3, 4, 3, 4)",0.2222,0.4714,True
135,E]yw,6,11,"(1, 11, 49, 109, 118, 48, 0, 0, 0)",225,1,6,9,6,1,"(4, 3, 4, 3, 4, 4)",0.2222,0.4714,True
137,E]~o,6,12,"(1, 12, 58, 137, 154, 64, 0, 0, 0)",384,1,8,15,6,1,"(4, 4, 4, 4, 4, 4)",0.0,0.0,True
138,E]~w,6,13,"(1, 13, 66, 161, 185, 78, 0, 0, 0)",576,1,12,15,6,1,"(4, 4, 4, 4, 5, 5)",0.2222,0.4714,True
139,E^~w,6,14,"(1, 14, 75, 190, 224, 96, 0, 0, 0)",864,1,16,15,6,1,"(4, 4, 5, 5, 5, 5)",0.2222,0.4714,True
